31_1	What is throat cancer?
62_3	Tell me about the Surrealism movement's founding.
62_4	Tell me about the series of manifestos in the Surrealism movement.
62_5	How is Surrealism movement different from Dada?
62_6	What is the importance of the Surrealism movement?
62_7	Who are the most famous artists in the Surrealism movement?
62_8	Why did Dali choose surrealism?
62_9	What are Dali's most iconic works?
62_10	Is the Surrealism movement in art still used today?
62_11	What has been the Surrealism movement's impact on other fields?
63_1	What is blockchain?
63_2	What problem does blockchain solve?
63_3	How does blockchain work?
63_4	What are the types of blockchain networks?
63_5	Tell me about blockchain's invention.
63_6	How is blockchain related to cryptocurrencies?
63_7	How is Bitcoin generated?
63_8	How secure is blockchain?
63_9	What are blockchain's other uses in business?
63_10	What are the implications of blockchain for society?
64_1	What are the types of pork ribs?
64_2	What are baby back pork ribs?
64_3	What are the differences between baby back ribs and spareribs?
64_4	What are ways to cook pork ribs?
64_5	How do you cook pork ribs on the bbq?
64_6	Describe the 321 method of cooking pork ribs
64_7	How long do pork ribs take to smoke?
64_8	How do you know when pork ribs are done smoking?
64_9	What is in a typical pork rib bbq rub?
64_10	What’s the best style of sauce for pork ribs?
64_11	What’s in Kansas City style BBQ sauce?
65_1	What is nominal GDP?
65_2	Why is nominal GDP not a good measure?
65_3	What is the between nominal and real GDP?
65_4	How is nominal GDP related to gross national income?
65_5	What is the meaning of GNI?
65_6	How is inflation affected by high GDP growth?
65_7	What is the relationship between inflation and unemployment?
65_8	What is frictional unemployment and why is it important?
65_9	Is frictional unemployment bad for the economy?
65_10	How can the government reduce the level of frictional unemployment?
66_1	Tell me about lavender plants.
66_2	What are the different types of lavender plants?
66_3	What places are famous for lavender plants?
66_4	Are lavender plants safe to eat?
66_5	What variety of lavender is best for cooking?
66_6	How is lavender used in cooking?
66_7	What foods is lavender good for cooking with?
66_8	What are the health benefits of lavender oil?
66_9	Are there any side effects of lavender oil?
67_1	Why is blood red?
67_2	What are red blood cells?
67_3	How are red blood cells created?
67_4	How is oxygen transported in blood?
67_5	What is anemia?
67_6	What are the symptoms of anemia?
67_7	Can anemia go away?
67_8	What are anemia's possible causes?
67_9	How is anemia treated?
67_10	What foods contain high levels of iron?
67_11	What improves iron absorption?
68_1	What is cuisine is Emilia-Romagna famous for?
68_2	Tell me about cooking schools and classes in Emilia-Romagna.
68_3	What are famous foods from Emilia-Romagna?
68_4	Describe the traditional process for making balsamic vinegar.
68_5	What is mortadella and where is it from?
68_6	What’s the difference between mortadella and bologna?
68_7	Where was Parmesan cheese created?
68_8	What is done with the whey after production of Parmesan cheese?
68_9	What are typical pasta dishes from Emilia-Romagna?
68_10	What is the history of tagliatelle al ragu bolognese?
68_11	What are common variations of tagliatelle al ragu bolognese?
69_1	How do you sleep after jet lag?
69_2	Does melatonin help with jet lag?
69_3	How was melatonin discovered?
69_4	What are good sources of melatonin in food?
69_5	Is melatonin bad for you?
69_6	What are the side effects of melatonin?
69_7	Why does melatonin require a prescription in the UK?
69_8	How can I increase my melatonin levels naturally?
69_9	Is melatonin effective for treating insomnia?
69_10	How about melatonin's effect for anxiety?
70_1	What is solar energy?
70_2	What are the main uses of solar energy?
70_3	Why is solar energy important?
70_4	What are advantages of solar energy?
70_5	What is the cost of solar power?
70_6	How is solar power being used in rural Africa?
70_7	Tell me about how solar cookers work.
70_8	How is solar energy used in architecture?
70_9	What are important architecture projects using solar energy?
70_10	Can solar energy be used to power cars?
71_1	What are mammals?
71_2	What are mammals' key characteristics?
71_3	How many legs do mammals have?
71_4	What is the largest mammal on land?
71_5	What is the largest mammal in the world?
71_6	What is the largest mammal in the UK?
71_7	What about the largest mammal to ever walk the earth?
71_8	Tell me about Blue whales.
71_9	How much do Blue whales weigh?
71_10	Where do blue whales live?
71_11	What do blue whales eat?
71_12	Where can we see blue whales?
72_1	What do Spanish people do on Christmas day?
72_2	What do Spanish people eat for Christmas dinner?
72_3	What do Spanish people eat on Christmas eve?
72_4	What is the Spanish Christmas Lottery?
72_5	How does the Spanish Christmas Lottery drawing work?
72_6	How are the Spanish Christmas Lottery tickets sold?
72_7	What is Tió de Nadal?
72_8	How did the tradition of Tió de Nadal start?
72_9	How do Spanish people celebrate Three Kings Day?
72_10	What Spanish cakes are traditional for Three Kings Day?
73_1	Who is the most successful pirate of all time?
73_2	Who is the most famous female pirate?
73_3	Tell me more about Ching Shih.
73_4	What were Ching Shih's code of laws?
73_5	How did Ching Shih die?
73_6	Who was Anne Bonny?
73_7	What was Anne Bonny famous for?
73_8	Who was Anne Bonny married to?
73_9	How did Calico Jack die?
73_10	What happened to Anne Bonny?
74_1	What are the pros and cons of electric cars?
74_2	Tell me more about Tesla the car company.
74_3	Why did Elon Musk start Tesla?
74_4	What Tesla car models are available?
74_5	What is the best selling Tesla car model?
74_6	What is unique about the Tesla Model 3?
74_7	What are the safety features of Tesla Model 3?
74_8	Why is Tesla building Gigafactories?
74_9	What makes the Tesla batteries unique?
74_10	How long can Tesla car batteries last?
74_11	Tell me more about autopilot in Tesla cars.
74_12	Does Tesla car autopilot support full self-driving?
75_1	Why do turkey and Turkey share the same name?
75_2	Where are turkeys from?
75_3	What was the importance of turkey in native cultures?
75_4	When and how were turkeys domesticated?
75_5	Can turkeys fly?
75_6	Why did Ben Franklin want turkey to be the national symbol?
75_7	How did Ben Franklin cook turkey?
75_8	Why is turkey eaten on Thanksgiving?
75_9	How did turkeys become traditional for Christmas dinner in Britain?
75_10	When did turkeys become popular for Christmas dinner in Britain?
76_1	What are important literary elements?
76_2	What is the difference between literary elements and literary devices?
76_3	What is a literary genre?
76_4	What are the most important literary genres?
76_5	What is a trope?
76_6	What are important examples of tropes in fantasy?
76_7	What is the definition of allegory?
76_8	What are some important modern uses of allegory?
76_9	What are the different types of foreshadowing?
76_10	What is an example of foreshadowing?
77_1	What's the difference between soup and stew?
77_2	Is chilli a stew?
77_3	Is goulash a stew?
77_4	What are popular stews in France?
77_5	How is cassoulet made?
77_6	Tell me about feijoada and its significance.
77_7	How is feijoada similar or different from cassoulet?
77_8	Tell about Bigos stew.
77_9	Why is Bigos stew important?
77_10	What is the history of Irish stew?
78_1	What is the keto diet?
78_2	Why was keto diet originally developed?
78_3	What is ketosis?
78_4	What is paleo diet?
78_5	What do paleo diet and keto diet have in common?
78_6	How are paleo diet and keto diet different?
78_7	What is intermittent fasting?
78_8	How is intermittent fasting related to keto?
78_9	What is the 16_8 method in intermittent fasting?
78_10	What is the best method for weight loss?
79_1	What is taught in sociology?
79_2	What is the main contribution of Auguste Comte to sociology?
79_3	What is the role of positivism in sociology?
79_4	What is Herbert Spencer known for in sociology?
79_5	How is Herbert Spencer's work related to Comte?
79_6	What is the functionalist theory in sociology?
79_7	What is the main criticism of functionalist theory in sociology?
79_8	How does functionalist theory compare to conflict theory?
79_9	What are modern examples of conflict theory?
80_1	What were the purposes of the Lewis and Clark expedition?
80_2	What were important plants and animals Lewis and Clark discovered?
80_3	What were the diplomatic objectives of the Lewis and Clark expedition?
80_4	What were the Native American tribes that Lewis and Clark encountered?
80_5	How did Sacagawea help Lewis and Clark?
80_6	Did Lewis and Clark find the Northwest Passage?
80_7	What was the purpose of Fort Mandan in the Lewis and Clark expedition?
80_8	How did Lewis and Clark spend the next winter?
80_9	What happened to Fort Clatsop?
80_10	What was the impact of the Lewis and Clark expedition?
